SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Saymez Cars,,DE23 8RU,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
M A Travel,,DE23 8QE,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
Derby City Cars,,DE1 2RU,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
Liaqat Akbar,,DE23 8DF,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
Awami Travel,,DE23 6TL,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
Anytime Travelz,,DE23 1LJ,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
Mohammad Imran,,DE23 8UN,UK,33,Derby City Council,DE1 2FS,"TD1435 — DPS Transport Services for Hackney Carriage, Minibus and Private Hire Vehicles",20200331,"Derby City Council were seeking to establish a dynamic purchasing system (DPS), of organisations able to provide transport services including home-to-school, special education needs and social care transport. The purpose of this procurement was to establish the DPS agreement between the Council and the service provider(s) for the provision of transport services. Under this agreement, transport is provided using hackney carriage, minibus and private hire vehicles. Vehicles are of various capacities (minimum four seats and upwards and in accordance with current public service vehicle (PSV) legislation or private hire or hackney carriage legislation.",http://ted.europa.eu/udl?uri=TED:NOTICE:154375-2020:TEXT:EN:HTML,1442554.51,GBP
,,,,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
Aecom,,E1 8FA,UK,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
Aspinall Verdi,,EC1N 8JY,UK,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
Atkins,,CO1 1TG,UK,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
Capita Business Services Ltd,,W1T 3LR,UK,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
Deyton Bell Ltd,,CB22 7ZE,UK,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
Arcadis LLP,,N1 9AB,UK,7,Central Bedfordshire Council,SG17 5TQ,CBC-T-0986-CE Regeneration and Business Consultancy Framework,20200331,The regeneration and business directorate currently manages consultancy and professional services. The regeneration and business directorate is seeking to learn from best practice and commission technical expertise to support our ambitious agenda in Central Bedfordshire through this procurement framework. The proposed framework will comprise of a total of 7 lots covering the breadth of the directorate.,http://ted.europa.eu/udl?uri=TED:NOTICE:154380-2020:TEXT:EN:HTML,40000000,GBP
W.G.Beaumont and Son Ltd,N/A,RM7 0HX,UK,1,The Oil and Pipelines Agency,SW1H 9EX,OPA T254/0000 OFD Oil Fuel Depot Storage Tank Cleaning Framework,20200331,"The requirement of this tender is to provide a framework of suitably skilled and qualified contractors capable of undertaking the cleaning of the depots oil storage tanks (with the option of Blasting) under the control of the OPA, therefore maintaining our current stock of F44 and F76 grade fuel and ship sullage water tanks.",http://ted.europa.eu/udl?uri=TED:NOTICE:154381-2020:TEXT:EN:HTML,2500000,GBP
Acuma Solutions Ltd,8761455,SK3 0EY,UK,2,Ofgem,E14 4PU,Dynamic Purchasing System 0ù Digital Services,20200331,"This Dynamic Purchasing System (DPS) will support the Ofgem DDaT team to develop and expand its capabilities with a strategic architecture function, including enterprise, solutions, cyber security and data specialists to support the increasing pace of technological change, and Ofgem and Industry initiatives supporting and enabling the transformation of the energy sector aligned with the HMG Industrial Strategy. This also includes supporting the delivery of data platforms and front-end digital services and embedding data and digital capabilities within the organisation in discrete teams to deliver training and data products.",http://ted.europa.eu/udl?uri=TED:NOTICE:154384-2020:TEXT:EN:HTML,28000000,GBP
6point6 Ltd,8761455,W1J 8DJ,UK,2,Ofgem,E14 4PU,Dynamic Purchasing System 0ù Digital Services,20200331,"This Dynamic Purchasing System (DPS) will support the Ofgem DDaT team to develop and expand its capabilities with a strategic architecture function, including enterprise, solutions, cyber security and data specialists to support the increasing pace of technological change, and Ofgem and Industry initiatives supporting and enabling the transformation of the energy sector aligned with the HMG Industrial Strategy. This also includes supporting the delivery of data platforms and front-end digital services and embedding data and digital capabilities within the organisation in discrete teams to deliver training and data products.",http://ted.europa.eu/udl?uri=TED:NOTICE:154384-2020:TEXT:EN:HTML,28000000,GBP
Cambridgeshire and Peterborough Rape Crisis Partnership (CAPRCP),1179871,CB1 2SN,UK,3,"BCH Procurement (Representing The Police and Crime Commissioners for Bedfordshire, Cambridgeshire, Hertfordshire and Essex)",SG8 7BZ,SARS & SVSS,20200331,"Sexual Assault Referral Services and Sexual Violence Support Services covering Bedfordshire, Cambridgeshire, Hertfordshire and Essex.",http://ted.europa.eu/udl?uri=TED:NOTICE:154392-2020:TEXT:EN:HTML,15709758.40,GBP
Mountain Healthcare Limited,347779006,CM7 4JX,UK,3,"BCH Procurement (Representing The Police and Crime Commissioners for Bedfordshire, Cambridgeshire, Hertfordshire and Essex)",SG8 7BZ,SARS & SVSS,20200331,"Sexual Assault Referral Services and Sexual Violence Support Services covering Bedfordshire, Cambridgeshire, Hertfordshire and Essex.",http://ted.europa.eu/udl?uri=TED:NOTICE:154392-2020:TEXT:EN:HTML,15709758.40,GBP
,,,,3,"BCH Procurement (Representing The Police and Crime Commissioners for Bedfordshire, Cambridgeshire, Hertfordshire and Essex)",SG8 7BZ,SARS & SVSS,20200331,"Sexual Assault Referral Services and Sexual Violence Support Services covering Bedfordshire, Cambridgeshire, Hertfordshire and Essex.",http://ted.europa.eu/udl?uri=TED:NOTICE:154392-2020:TEXT:EN:HTML,15709758.40,GBP
London Borough of Haringey,,N22 8HQ,UK,1,London Borough of Enfield,EN1 3XA,Hearing Impairment Outreach Service,20200331,"Following transparent, open and competitive procurement process it resulted that Enfield Council is appointing a provider to deliver an outreach service for children and young people with a hearing impairment, to help ensure that they are able to achieve their educational goals for the next 3 years with an option to extend for a further 2 years based on performance.",http://ted.europa.eu/udl?uri=TED:NOTICE:154393-2020:TEXT:EN:HTML,1050000,GBP
International Contract Engineering Ltd ICE Group,,IM1 1AF,UK,1,Ferguson Marine (Port Glasgow) Ltd,PA14 5NG,ICE Contract,20200331,Services Contract between Ferguson Marine (Port Glasgow) Ltd and International Contract Engineering Ltd relating to the supply of engineering for revision to basic design and completion of the detail design and production information for CALMAC Ferry Hull 801.,http://ted.europa.eu/udl?uri=TED:NOTICE:154396-2020:TEXT:EN:HTML,2443170,EUR
TMC Pharma Services Ltd,,RG27 8AS,UK,1,Queen's University Belfast,BT7 1NN,QUB/1850/20 Contract for Clinical Research Services (Clinical Research Organisation),20200331,"Queen's University Belfast seeks to appoint a Clinical Research Organisation (CRO) to provide services in respect of conducting a multinational Phase II study in non-Cystic Fibrosis BE patients, sponsored by Novartis, across Europe. The trial will be jointly funded by Novartis and the EU Innovative Medicines Initiative (IMI) through the iABC consortium. IMI is Europe's largest public-private initiative aiming to speed up the development of better and safer medicines for patients (http://www.imi.europa.eu/).",http://ted.europa.eu/udl?uri=TED:NOTICE:154398-2020:TEXT:EN:HTML,3500000,GBP
Maha Ireland Ltd,,D24D V50,IE,1,Department for Infrastructure,BT12 6QL,ID 2836849 DFI — DVA Provision and Maintenance of Vehicle Testing Equipment to Support Delivery of Statutory Vehicle Testing Services,20200331,The Driver and Vehicle Agency (DVA) requires a further extension of its original contract for an additional 48 months from 1 April 2020 to 31 March 2024. The contract provides provision and maintenance of vehicle testing equipment to support delivery of statutory vehicle testing services.,http://ted.europa.eu/udl?uri=TED:NOTICE:154402-2020:TEXT:EN:HTML,4744028.00,GBP
Biffa Waste Services Ltd,00946107,HP12 3TZ,UK,1,SSE Plc,PH1 3AQ,Provision of Wate Management Services,20200331,"Disposal of General Waste from all UK SSE Sites covering the following business units: Networks, Thermal, Renewables, Logistics, Distribution, Corporate and Logistics and Enterprise.",http://ted.europa.eu/udl?uri=TED:NOTICE:154406-2020:TEXT:EN:HTML,11000000.00,GBP
Biffa Waste Services Ltd,00946107,HP12 3TZ,UK,1,Southern Gas Networks Plc,RH6 9HJ,Provision of Wate Management Services,20200331,"Disposal of General Waste from all UK SGN Sites covering the following business units: Southern Gas Networks, Scotland Gas Networks and SGN Natural Gas.",http://ted.europa.eu/udl?uri=TED:NOTICE:154407-2020:TEXT:EN:HTML,1684645.00,GBP
Wyllie Recycling Ltd,SC251851,PH1 3UF,UK,1,SSE Plc,RG1 3JH,Provision of Wate Management Services,20200331,Disposal of General Waste from all UK SSE Sites covering the following business units: corporate and logistics.,http://ted.europa.eu/udl?uri=TED:NOTICE:154408-2020:TEXT:EN:HTML,1508690.00,GBP
Siemens Mobility Ltd,16033,NW1 1AD,UK,1,Network Rail Infrastructure Ltd,NW1 2DN,East Coast Main Line (EMCL) Digital Railway Train Control Partner,20200331,Network Rail Digital Railway is seeking to establish a single supplier framework agreement to deliver digital train control systems on the East Coast Main Line (ECML) route. The framework agreement comprises two main types of call-off contracts:,http://ted.europa.eu/udl?uri=TED:NOTICE:154426-2020:TEXT:EN:HTML,900000000.00,GBP
Richard Street Ltd,,KY5 8LL,UK,1,Kingdom Housing Association Ltd,KY6 2DA,"Acquisition of New Affordable Housing (Park Road, Rosyth)",20200401,This notice is to advise that Kingdom Housing Association intends to contract with Richard Street Ltd. The contract is expected to commence 2020 and complete during 2021.,http://ted.europa.eu/udl?uri=TED:NOTICE:156355-2020:TEXT:EN:HTML,2424684,GBP
A S Homes (Scotland) Ltd,,G2 5QD,UK,1,Renfrewshire Council,PA1 1JB,Ferguslie Park New Build Housing (RT),20200401,"The works consist of the construction of up 101 new build Council homes (together with associated landscaping and infrastructure) on the former St Fergus School site, Ferguslie, Paisley.",http://ted.europa.eu/udl?uri=TED:NOTICE:156356-2020:TEXT:EN:HTML,13340000.05,GBP
J & D Systems,N/A,ME12 3AR,UK,2,Swale Borough Council,ME10 3HT,"Staying Put Disabled Facilities Grant Work, Primarily Shower Room Conversions, Other Home Adaptations Including External Ramping and other Hospital Discharge Works",20200401,"Disabled Facilities Grant (DFG) work and other associated works, including hospital discharge and repairs which are carried out through the staying put service. Works will be undertaken to various private residential properties in Swale to enable elderly and vulnerable people to stay in their homes.",http://ted.europa.eu/udl?uri=TED:NOTICE:156357-2020:TEXT:EN:HTML,8000000,GBP
Perfect Homes Ltd,07837119,N1 7GU,UK,2,Swale Borough Council,ME10 3HT,"Staying Put Disabled Facilities Grant Work, Primarily Shower Room Conversions, Other Home Adaptations Including External Ramping and other Hospital Discharge Works",20200401,"Disabled Facilities Grant (DFG) work and other associated works, including hospital discharge and repairs which are carried out through the staying put service. Works will be undertaken to various private residential properties in Swale to enable elderly and vulnerable people to stay in their homes.",http://ted.europa.eu/udl?uri=TED:NOTICE:156357-2020:TEXT:EN:HTML,8000000,GBP
Voicenet Solutions Ltd TA 8x8 Solutions,,HP1 98JR,UK,1,Liverpool City Council,L3 1DS,Contact Centre Platforms,20200401,Contact Centre Platform Refresh including Contact Centre Telephony.,http://ted.europa.eu/udl?uri=TED:NOTICE:156364-2020:TEXT:EN:HTML,2492700,GBP
Vifor Pharma UK Ltd,,GU19 5PJ,UK,3,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,Intravenous Iron and Cinacalcet Tablets,20200401,Supply of intravenous iron and cinacalcet tablets to NHS Scotland.,http://ted.europa.eu/udl?uri=TED:NOTICE:156365-2020:TEXT:EN:HTML,1431245,GBP
Pharmacosmos UK Ltd,,RG1 3AR,UK,3,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,Intravenous Iron and Cinacalcet Tablets,20200401,Supply of intravenous iron and cinacalcet tablets to NHS Scotland.,http://ted.europa.eu/udl?uri=TED:NOTICE:156365-2020:TEXT:EN:HTML,1431245,GBP
Thornton & Ross,,HD7 5QH,UK,3,The Common Services Agency (more commonly known as NHS National Services Scotland) (‘NSS’),EH12 9EB,Intravenous Iron and Cinacalcet Tablets,20200401,Supply of intravenous iron and cinacalcet tablets to NHS Scotland.,http://ted.europa.eu/udl?uri=TED:NOTICE:156365-2020:TEXT:EN:HTML,1431245,GBP
John Palin (Wholesale) Ltd,,DE4 5ND,UK,2,Nottinghamshire County Council,NG2 7QP,Supply and Distribution of Fresh Produce,20200401,"Nottinghamshire County Council (the ‘Council’) require regular, reliable deliveries of good quality fresh produce to a range of sites across the County. Sites include schools, day services, children’s residential homes and the Council’s trading arm County Enterprise Foods in Worksop.",http://ted.europa.eu/udl?uri=TED:NOTICE:156366-2020:TEXT:EN:HTML,5880000,GBP
Millside Barrowcliffe Ltd,,NG3 2NJ,UK,2,Nottinghamshire County Council,NG2 7QP,Supply and Distribution of Fresh Produce,20200401,"Nottinghamshire County Council (the ‘Council’) require regular, reliable deliveries of good quality fresh produce to a range of sites across the County. Sites include schools, day services, children’s residential homes and the Council’s trading arm County Enterprise Foods in Worksop.",http://ted.europa.eu/udl?uri=TED:NOTICE:156366-2020:TEXT:EN:HTML,5880000,GBP
Saint-Gobain Building Distribution Limited,,,UK,1,NWUPC Ltd,M1 3HZ,"Plumbing, Sanitary and Heating Equipment, Supplies and Associated Services",20200401,"The NWUPC is seeking to establish a multi-provider framework agreement on behalf of the members of NWUPC, CPC, HEPCW, LUPC, SUPC and NEUPC for plumbing, sanitary and heating equipment, supplies and associated services. Members referred to in the OJEU Notice may also participate in the framework agreement. This framework agreement will commence on 1 March 2020 for an initial period of 24 months until 28 February 2022 with the option to extend the agreement for 12 months until 28 February 2023 and a further 12 months until 29 February 2024 subject to satisfactory economic operator performance. The framework agreement will be one lot only.",http://ted.europa.eu/udl?uri=TED:NOTICE:156367-2020:TEXT:EN:HTML,24000000.00,EUR
SSG Support Services Group LTD,,IG11 8HG,UK,1,Sunderland City Council,SR2 7DN,Security Guarding and Keyholding Services,20200401,"Provision of security guarding and key holding services(henceforth ‘the Services’) to Sunderland City Council. The services are needed across a number of Council owned sites ranging from permanent to temporary guards, a variety of roles and the secure holding of keys.",http://ted.europa.eu/udl?uri=TED:NOTICE:156382-2020:TEXT:EN:HTML,1251657.00,GBP
Bluefield Care Services Ltd,,SE13 6JZ,UK,1,London Borough of Bromley,BR1 3UH,Discharge to Assess (D2A) Service,20200401,"Bids were sought from providers to provide a high-quality, cost effective and responsive service to Bromley Service Users. The aim of the service is to facilitate a speedy return home from hospital by providing a domiciliary care package of care for up to 6 weeks to enable a full assessment to take place in the service users own home environment. The Service will need to be provided 7 days a week, 365 days per year.",http://ted.europa.eu/udl?uri=TED:NOTICE:156391-2020:TEXT:EN:HTML,1215000,GBP
Pinnacle FM Limited,,EC4A 3AE,UK,1,Marylebone Boys' School,W2 1QZ,Marylebone Boys' School - Facilities Management Services,20200401,"This is the Supplier Selection Stage of the School Facilities Management Services tender for Marylebone Boys' School. Marylebone Boys' School is looking for a Contractor to manage the Facilities Management Service at their prestige new building in Paddington Basin, London W2. Service requires includes provision and management of a Site Manager and two Facilities Assistants. A wide range of service requirements will need to be provided including scheduling and delivery of all the Planned and Preventative Maintenance of all the site plant and equipment.",http://ted.europa.eu/udl?uri=TED:NOTICE:156396-2020:TEXT:EN:HTML,1000000,GBP
Anderson Bell Christie,,G4 9HT,UK,1,South Ayrshire Council,KA7 1DR,CE-68-19 — Architectural Services Framework Agreement,20200401,South Ayrshire Council has a requirement to set up a multi supplier framework agreement with suitably competent and experienced consultants to supplement their in-house provision and provide architectural services on various projects under the control of the Council’s Professional Design Services Department. The Council’s outsourced workload will be varied and intermittent.,http://ted.europa.eu/udl?uri=TED:NOTICE:156403-2020:TEXT:EN:HTML,1000000,GBP
Dallaglio RugbyWorks,,,UK,1,Coventry City Council,CV1 5RR,Work Related Learning DPS,20200401,The work related learning service works on behalf of schools across Coventry ensure there is a range of high-quality vocational provision which meets the needs of young people aged between 13-19 years.,http://ted.europa.eu/udl?uri=TED:NOTICE:156415-2020:TEXT:EN:HTML,2360000.00,GBP
Aquafact International Services Ltd,,,UK,1,The Food Standards Agency,YO1 7PR,FS115005/FS315019-Sanitary Surveys and Reviews for Bivalve Mollusc Harvesting,20200401,"Services for delivery of sanitary surveys and sanitary survey reviews for new and existing bivalve mollusc harvesting in England, Wales and Northern Ireland.",http://ted.europa.eu/udl?uri=TED:NOTICE:156418-2020:TEXT:EN:HTML,1505095,GBP
Ewing Somerville Partnership (Scotland) Ltd,,G4 9TH,UK,4,Turner & Townsend,G2 5SG,Govanhill Housing Association — Major Repairs Framework ù Consultants,20200401,Govanhill HA's major repairs framework is scheduled to be renewed this year and they are seeking to appoint suitably qualified consultants to provide professional services for the design and delivery of various projects within this framework.,http://ted.europa.eu/udl?uri=TED:NOTICE:156424-2020:TEXT:EN:HTML,20000000,GBP
G3 Consulting Engineers,,G33 1AP,UK,4,Turner & Townsend,G2 5SG,Govanhill Housing Association — Major Repairs Framework ù Consultants,20200401,Govanhill HA's major repairs framework is scheduled to be renewed this year and they are seeking to appoint suitably qualified consultants to provide professional services for the design and delivery of various projects within this framework.,http://ted.europa.eu/udl?uri=TED:NOTICE:156424-2020:TEXT:EN:HTML,20000000,GBP
Stuart Burke Associates,,KY11 8UU,UK,4,Turner & Townsend,G2 5SG,Govanhill Housing Association — Major Repairs Framework ù Consultants,20200401,Govanhill HA's major repairs framework is scheduled to be renewed this year and they are seeking to appoint suitably qualified consultants to provide professional services for the design and delivery of various projects within this framework.,http://ted.europa.eu/udl?uri=TED:NOTICE:156424-2020:TEXT:EN:HTML,20000000,GBP
Riach Partnership Ltd,,G2 4HG,UK,4,Turner & Townsend,G2 5SG,Govanhill Housing Association — Major Repairs Framework ù Consultants,20200401,Govanhill HA's major repairs framework is scheduled to be renewed this year and they are seeking to appoint suitably qualified consultants to provide professional services for the design and delivery of various projects within this framework.,http://ted.europa.eu/udl?uri=TED:NOTICE:156424-2020:TEXT:EN:HTML,20000000,GBP
Dolphin Lifts Midlands Ltd,,,UK,1,Bradford Metropolitan District Council,BD1 1HX,Tender for: Framework Agreement for Lifting Adaptations in Domestic Properties,20200401,The City of Bradford Metropolitan District Council (the Council) was seeking tenders from suitably qualified companies who manufacture/supply and install lifting adaptations who are interested in gaining approval onto a framework agreement for supplying and installing these products in domestic properties within the Bradford District on behalf of The Council.,http://ted.europa.eu/udl?uri=TED:NOTICE:156425-2020:TEXT:EN:HTML,1900000,GBP
AFA Fire and Security Ltd,,EH47 0ET,UK,1,West Lothian Council,EH54 6FF,"Provision and Maintenance of Security, CCTV and Fire Alarm Systems",20200401,"Provision and maintenance of security, CCTV and fire alarm systems.",http://ted.europa.eu/udl?uri=TED:NOTICE:156426-2020:TEXT:EN:HTML,1392301.40,GBP
Care Unbound Limited,Company No: 6528491,BN1 6AG,UK,1,NHS Brighton and Hove Clinical Commissioning Group,BN3 4AH,Memory Assessment Service (MAS) NHS/SOEPS/20.634 CAN,20200401,"This Contract Award Notice (CAN) is to inform the market of the award of a 34 month contract to ""HERE"" (Care Unbound Ltd) for the provision of Memory Assessment Services for Brighton and Hove CCG (‘the CCG’) from 1st June 2020 to 31st March 2023, following the previous issue of a PIN with call for competition.",http://ted.europa.eu/udl?uri=TED:NOTICE:156439-2020:TEXT:EN:HTML,1579167.00,EUR
Prysmian Cables and Systems Ltd,958507,SO50 6YU,UK,1,Northern Ireland Electricity Networks Ltd,BT9 5HT,"T314 (2019) Design, Supply, Install, Jointing and Test of 275kV/110kV Cable and Oil System",20200401,"NIE Networks intends to establish a framework with a suitably qualified and experienced service provider for design, manufacture, supply, installation, jointing and testing of 275 kV and 110 kV cable and oil filled systems.",http://ted.europa.eu/udl?uri=TED:NOTICE:156440-2020:TEXT:EN:HTML,70400000.00,GBP
Sidey Solutions Limited,,PH1 2AX,UK,3,North Lanarkshire Council,ML1 1AB,Measured Term Contract for Replacement of Windows and Doors (2020-2025),20200402,This tender documentation is for the measured term contract for replacement of windows and doors of domestic properties within North Lanarkshire (2020-2025).,http://ted.europa.eu/udl?uri=TED:NOTICE:158312-2020:TEXT:EN:HTML,50000000,GBP
Walker Profiles,,ML1 2HR,UK,3,North Lanarkshire Council,ML1 1AB,Measured Term Contract for Replacement of Windows and Doors (2020-2025),20200402,This tender documentation is for the measured term contract for replacement of windows and doors of domestic properties within North Lanarkshire (2020-2025).,http://ted.europa.eu/udl?uri=TED:NOTICE:158312-2020:TEXT:EN:HTML,50000000,GBP
CMS Window Systems,,G68 0FS,UK,3,North Lanarkshire Council,ML1 1AB,Measured Term Contract for Replacement of Windows and Doors (2020-2025),20200402,This tender documentation is for the measured term contract for replacement of windows and doors of domestic properties within North Lanarkshire (2020-2025).,http://ted.europa.eu/udl?uri=TED:NOTICE:158312-2020:TEXT:EN:HTML,50000000,GBP
Covetrus Ltd,,DG2 0NU,UK,2,APUC Limited,FK8 2DZ,National Framework Agreement for Veterinary Supplies,20200402,The Authority is seeking Contractor(s) for the provision of a wide range of goods and services to be utilised primarily in the various Veterinary Schools of the UK and in the wider Higher and Further Education sectors. These goods and services include:,http://ted.europa.eu/udl?uri=TED:NOTICE:158315-2020:TEXT:EN:HTML,32000000,GBP
"Aquilant Ltd T/A Aquilant Orthopaedics,T/A Aquilant Interventional,T/A Aquilant Surgical,T/A C/Care",,RG24 8PZ,UK,2,APUC Limited,FK8 2DZ,National Framework Agreement for Veterinary Supplies,20200402,The Authority is seeking Contractor(s) for the provision of a wide range of goods and services to be utilised primarily in the various Veterinary Schools of the UK and in the wider Higher and Further Education sectors. These goods and services include:,http://ted.europa.eu/udl?uri=TED:NOTICE:158315-2020:TEXT:EN:HTML,32000000,GBP
Natural UK Ltd,,SA18 3SJ,UK,3,National Procurement Service (Welsh Government),CF83 8WT,Cleaning and Janitorial Materials and Washroom Services,20200402,Supply of cleaning and janitorial materials and apparatus and the provision of washroom and air freshener services.,http://ted.europa.eu/udl?uri=TED:NOTICE:158318-2020:TEXT:EN:HTML,13000000,GBP
Personnel Hygiene Services Ltd,,CF83 1XH,UK,3,National Procurement Service (Welsh Government),CF83 8WT,Cleaning and Janitorial Materials and Washroom Services,20200402,Supply of cleaning and janitorial materials and apparatus and the provision of washroom and air freshener services.,http://ted.europa.eu/udl?uri=TED:NOTICE:158318-2020:TEXT:EN:HTML,13000000,GBP
